location_id,city,state,country,geo_risk_score
50,Phusro,Haryana,India,0.401
51,Dibrugarh,Gujarat,India,0.459
52,Shivpuri,West Bengal,India,0.139
53,Mirzapur,Gujarat,India,0.466
54,Vijayanagaram,Telangana,India,0.289
55,Satna,Odisha,India,0.078
56,Proddatur,West Bengal,India,0.43
57,Bally,Sikkim,India,0.272
58,Ongole,Odisha,India,0.401
59,Phagwara,Sikkim,India,0.377
60,Bardhaman,Arunachal Pradesh,India,0.213
61,Baranagar,Assam,India,0.08
62,Berhampore,Nagaland,India,0.419
63,Kottayam,Andhra Pradesh,India,0.08
64,Saharanpur,Meghalaya,India,0.297
65,Yamunanagar,Bihar,India,0.42
66,Panvel,Tripura,India,0.293
67,Anantapur,Mizoram,India,0.2
68,Unnao,Maharashtra,India,0.29
69,Jamalpur,Uttarakhand,India,0.176
70,Kozhikode,Gujarat,India,0.177
71,Kozhikode,Assam,India,0.131
72,Agartala,Chhattisgarh,India,0.225
73,Kadapa,Uttarakhand,India,0.082
74,Bhalswa Jahangir Pur,Uttarakhand,India,0.229
75,Arrah,Kerala,India,0.428
76,Amroha,Assam,India,0.526
77,Tirunelveli,Nagaland,India,0.184
78,Aligarh,Nagaland,India,0.199
79,Proddatur,Karnataka,India,0.117
80,Machilipatnam,Andhra Pradesh,India,0.293
81,Darbhanga,Madhya Pradesh,India,0.007
82,Pondicherry,Tripura,India,0.18
83,Yamunanagar,Odisha,India,0.329
84,Ajmer,Nagaland,India,0.075
85,Moradabad,Tamil Nadu,India,0.19
86,Chapra,Tamil Nadu,India,0.276
87,Rajpur Sonarpur,West Bengal,India,0.116
88,Aurangabad,Nagaland,India,0.098
89,Karimnagar,Uttarakhand,India,0.46
90,Nandyal,Punjab,India,0.305
91,New Delhi,Telangana,India,0.122
92,Karawal Nagar,Tripura,India,0.465
93,Miryalaguda,Bihar,India,0.211
94,Gwalior,Meghalaya,India,0.288
95,Hapur,Haryana,India,0.244
96,Shahjahanpur,Odisha,India,0.208
97,Uluberia,Punjab,India,0.159
98,Muzaffarpur,Karnataka,India,0.057
99,Kamarhati,Karnataka,India,0.444
100,Hajipur,Uttar Pradesh,India,0.389
101,Loni,Sikkim,India,0.083
102,Rampur,Uttarakhand,India,0.099
103,Mahbubnagar,Manipur,India,0.125
104,Morena,Telangana,India,0.041
105,South Dumdum,Himachal Pradesh,India,0.3
106,Hosur,Jharkhand,India,0.163
107,Latur,Madhya Pradesh,India,0.61
108,Ranchi,Assam,India,0.026
109,Maheshtala,Rajasthan,India,0.157
110,Karawal Nagar,Nagaland,India,0.075
111,Danapur,Karnataka,India,0.663
112,Suryapet,Uttar Pradesh,India,0.293
113,Miryalaguda,Karnataka,India,0.285
114,Thrissur,Assam,India,0.316
115,Bhimavaram,Tamil Nadu,India,0.289
116,Ambattur,Jharkhand,India,0.355
117,Tiruvottiyur,Chhattisgarh,India,0.18
118,Nangloi Jat,West Bengal,India,0.435
119,Purnia,Rajasthan,India,0.323
120,Coimbatore,Karnataka,India,0.165
121,Nagercoil,Tamil Nadu,India,0.179
122,Purnia,West Bengal,India,0.231
123,Shimoga,Gujarat,India,0.286
124,Pallavaram,Meghalaya,India,0.237
125,Moradabad,Kerala,India,0.223
126,Anand,Uttar Pradesh,India,0.217
127,Jamshedpur,Rajasthan,India,0.294
128,Morbi,Arunachal Pradesh,India,0.609
129,Rajkot,Rajasthan,India,0.544
130,Nadiad,Odisha,India,0.163
131,Jalandhar,Mizoram,India,0.335
132,Madhyamgram,Odisha,India,0.342
133,Anantapuram,Sikkim,India,0.609
134,Navi Mumbai,Uttar Pradesh,India,0.596
135,Jalna,Jharkhand,India,0.328
136,Gulbarga,West Bengal,India,0.54
137,Maheshtala,Tripura,India,0.258
138,Jorhat,Meghalaya,India,0.478
139,Dharmavaram,Mizoram,India,0.321
140,Ramagundam,Chhattisgarh,India,0.322
141,Guntur,Arunachal Pradesh,India,0.436
142,Bellary,Punjab,India,0.371
143,Narasaraopet,Assam,India,0.23
144,Kolkata,Haryana,India,0.388
145,Davanagere,Arunachal Pradesh,India,0.461
146,Asansol,Andhra Pradesh,India,0.517
147,Anantapuram,Tripura,India,0.163
148,Aurangabad,Jharkhand,India,0.085
149,Surendranagar Dudhrej,Uttarakhand,India,0.445
150,Danapur,West Bengal,India,0.471
151,Tirupati,Himachal Pradesh,India,0.451
152,Patna,Sikkim,India,0.2
153,Guna,Meghalaya,India,0.523
154,Thiruvananthapuram,Uttarakhand,India,0.035
155,Chennai,Andhra Pradesh,India,0.2
156,Unnao,Mizoram,India,0.375
157,Agra,Uttar Pradesh,India,0.166
158,Bathinda,Madhya Pradesh,India,0.335
159,Guntur,Haryana,India,0.341
160,Suryapet,Karnataka,India,0.677
161,Tiruchirappalli,Bihar,India,0.429
162,Shahjahanpur,Himachal Pradesh,India,0.659
163,Dindigul,Bihar,India,0.405
164,Guntur,Gujarat,India,0.452
165,Raurkela Industrial Township,West Bengal,India,0.206
166,Mumbai,Assam,India,0.3
167,Kulti,Sikkim,India,0.082
168,Kadapa,Bihar,India,0.391
169,Muzaffarpur,Jharkhand,India,0.464
170,Durg,Meghalaya,India,0.167
171,Nellore,West Bengal,India,0.166
172,Thanjavur,West Bengal,India,0.488
173,Rewa,Chhattisgarh,India,0.28
174,Kalyan-Dombivli,Maharashtra,India,0.301
175,Tezpur,Gujarat,India,0.214
176,Madurai,Punjab,India,0.19
177,Deoghar,Mizoram,India,0.321
178,Adoni,Haryana,India,0.176
179,Dindigul,Mizoram,India,0.49
180,Udupi,Punjab,India,0.522
181,Saharsa,Assam,India,0.328
182,Asansol,Uttar Pradesh,India,0.217
183,Chandigarh,Sikkim,India,0.512
184,Rourkela,Jharkhand,India,0.24
185,Aligarh,Tripura,India,0.104
186,Raiganj,Gujarat,India,0.144
187,Ballia,Himachal Pradesh,India,0.326
188,Aligarh,Assam,India,0.181
189,Saharanpur,Tripura,India,0.466
190,Orai,Telangana,India,0.216
191,Bhavnagar,Andhra Pradesh,India,0.121
192,Bareilly,Odisha,India,0.31
193,Gurgaon,Chhattisgarh,India,0.209
194,Hyderabad,Andhra Pradesh,India,0.686
195,Dindigul,Haryana,India,0.161
196,Chandrapur,Telangana,India,0.195
197,Kanpur,Tamil Nadu,India,0.09
198,Ghaziabad,Odisha,India,0.776
199,Khammam,Uttar Pradesh,India,0.424
200,Medininagar,Maharashtra,India,0.27
201,Nanded,Meghalaya,India,0.38
202,Hyderabad,Tripura,India,0.174
203,Ahmednagar,Uttarakhand,India,0.211
204,Asansol,Tamil Nadu,India,0.148
205,Motihari,Uttarakhand,India,0.352
206,Bhubaneswar,Mizoram,India,0.09
207,Jehanabad,Karnataka,India,0.284
208,Karnal,Bihar,India,0.128
209,Buxar,Tripura,India,0.252
210,Rampur,Karnataka,India,0.147
211,Raichur,Haryana,India,0.097
212,Gandhidham,Himachal Pradesh,India,0.151
213,Jabalpur,Karnataka,India,0.285
214,Morbi,Sikkim,India,0.437
215,Kolhapur,Himachal Pradesh,India,0.454
216,Bhiwandi,Meghalaya,India,0.148
217,Bongaigaon,Goa,India,0.779
218,Rajahmundry,Chhattisgarh,India,0.69
219,Ujjain,Odisha,India,0.469
220,Silchar,Madhya Pradesh,India,0.024
221,Bikaner,Punjab,India,0.246
222,Shivpuri,Andhra Pradesh,India,0.264
223,Delhi,Meghalaya,India,0.257
224,Nandyal,Mizoram,India,0.371
225,Saharanpur,Arunachal Pradesh,India,0.261
226,Davanagere,Karnataka,India,0.346
227,Kirari Suleman Nagar,Mizoram,India,0.311
228,Thrissur,Karnataka,India,0.089
229,Agartala,Assam,India,0.108
230,Panchkula,Jharkhand,India,0.28
231,Navi Mumbai,Uttar Pradesh,India,0.384
232,Aurangabad,Tamil Nadu,India,0.583
233,Raebareli,Kerala,India,0.11
234,Jaunpur,Tamil Nadu,India,0.377
235,Udaipur,Chhattisgarh,India,0.516
236,Ratlam,Kerala,India,0.392
237,Vellore,Tripura,India,0.395
238,Munger,Maharashtra,India,0.272
239,Panvel,Gujarat,India,0.194
240,Bhilwara,Maharashtra,India,0.357
241,Kishanganj,Assam,India,0.147
242,Latur,Odisha,India,0.053
243,Machilipatnam,Madhya Pradesh,India,0.377
244,Thiruvananthapuram,Chhattisgarh,India,0.433
245,Khammam,Goa,India,0.352
246,Tumkur,Meghalaya,India,0.498
247,Hosur,Nagaland,India,0.135
248,Satna,Meghalaya,India,0.282
249,Darbhanga,Jharkhand,India,0.634
250,Mira-Bhayandar,Assam,India,0.044
251,Tirunelveli,Uttarakhand,India,0.263
252,Satna,Gujarat,India,0.438
253,Bikaner,Andhra Pradesh,India,0.235
254,Bhind,Gujarat,India,0.218
255,Dindigul,Kerala,India,0.07
256,Durgapur,Sikkim,India,0.364
257,Jamshedpur,Nagaland,India,0.367
258,Kavali,Mizoram,India,0.197
259,Phusro,Jharkhand,India,0.022
260,Uluberia,Jharkhand,India,0.663
261,Coimbatore,Meghalaya,India,0.246
262,Mau,Jharkhand,India,0.24
263,Tiruvottiyur,Sikkim,India,0.503
264,Uluberia,Andhra Pradesh,India,0.389
265,Nangloi Jat,West Bengal,India,0.046
266,Raipur,Rajasthan,India,0.129
267,Guntur,Uttarakhand,India,0.258
268,Aligarh,Meghalaya,India,0.409
269,Ambattur,Karnataka,India,0.179
270,Mumbai,Haryana,India,0.372
271,Farrukhabad,Sikkim,India,0.029
272,Bhind,West Bengal,India,0.423
273,Amravati,Chhattisgarh,India,0.364
274,Gudivada,Goa,India,0.065
275,Jamnagar,Arunachal Pradesh,India,0.166
276,Thoothukudi,Odisha,India,0.086
277,Moradabad,Punjab,India,0.13
278,Dhanbad,Tripura,India,0.057
279,Chennai,Arunachal Pradesh,India,0.365
280,Faridabad,Punjab,India,0.23
281,Mehsana,Madhya Pradesh,India,0.223
282,Miryalaguda,Arunachal Pradesh,India,0.055
283,Proddatur,Rajasthan,India,0.147
284,Gaya,Arunachal Pradesh,India,0.062
285,Dibrugarh,Karnataka,India,0.216
286,Bokaro,Sikkim,India,0.189
287,Rampur,Nagaland,India,0.322
288,Bilaspur,Chhattisgarh,India,0.652
289,Chennai,Odisha,India,0.388
290,Nellore,Telangana,India,0.113
291,Rewa,Jharkhand,India,0.228
292,Jehanabad,West Bengal,India,0.187
293,Jehanabad,Telangana,India,0.406
294,Purnia,Haryana,India,0.399
295,Nadiad,Gujarat,India,0.295
296,Pimpri-Chinchwad,Bihar,India,0.394
297,Ramgarh,Haryana,India,0.056
298,Ambarnath,Gujarat,India,0.226
299,Mehsana,Rajasthan,India,0.009
300,Amravati,Jharkhand,India,0.236
301,Bhalswa Jahangir Pur,Uttar Pradesh,India,0.64
302,Jamshedpur,Jharkhand,India,0.185
303,Loni,Uttarakhand,India,0.493
304,Gurgaon,Karnataka,India,0.163
305,Bihar Sharif,Himachal Pradesh,India,0.353
306,Jhansi,Assam,India,0.183
307,Sangli-Miraj & Kupwad,Jharkhand,India,0.316
308,Amroha,Mizoram,India,0.174
309,Bhalswa Jahangir Pur,Mizoram,India,0.283
310,Bhind,Rajasthan,India,0.256
311,Bhimavaram,Haryana,India,0.268
312,Thane,Haryana,India,0.437
313,Bhiwani,Gujarat,India,0.482
314,Panipat,Assam,India,0.569
315,Nadiad,West Bengal,India,0.458
316,Arrah,Chhattisgarh,India,0.329
317,Alwar,Himachal Pradesh,India,0.186
318,Tadipatri,Telangana,India,0.404
319,Ghaziabad,Gujarat,India,0.443
320,Morbi,Bihar,India,0.253
321,Bhind,Assam,India,0.49
322,Begusarai,Gujarat,India,0.383
323,Katni,Himachal Pradesh,India,0.078
324,Loni,Arunachal Pradesh,India,0.069
325,Nashik,Chhattisgarh,India,0.247
326,Hajipur,Gujarat,India,0.288
327,Eluru,Manipur,India,0.385
328,Panihati,Madhya Pradesh,India,0.159
329,Jalgaon,Bihar,India,0.139
330,Secunderabad,Maharashtra,India,0.047
331,Suryapet,Himachal Pradesh,India,0.35
332,Mirzapur,Arunachal Pradesh,India,0.146
333,Guntakal,West Bengal,India,0.025
334,Warangal,West Bengal,India,0.131
335,Amroha,Gujarat,India,0.558
336,Shimoga,Madhya Pradesh,India,0.444
337,Ballia,Arunachal Pradesh,India,0.336
338,Khandwa,West Bengal,India,0.393
339,Sonipat,Maharashtra,India,0.305
340,Karimnagar,Rajasthan,India,0.153
341,Sasaram,Maharashtra,India,0.283
342,Jamshedpur,Karnataka,India,0.392
343,Dindigul,Punjab,India,0.559
344,Faridabad,Uttarakhand,India,0.38
345,Gurgaon,Meghalaya,India,0.346
346,Kochi,Punjab,India,0.242
347,Avadi,Punjab,India,0.104
348,Visakhapatnam,Assam,India,0.325
349,Thoothukudi,Telangana,India,0.282
350,Buxar,Uttarakhand,India,0.092
351,Tirupati,West Bengal,India,0.193
352,Khammam,Punjab,India,0.104
353,Kolhapur,Tamil Nadu,India,0.184
354,Sambalpur,Rajasthan,India,0.194
355,Nellore,Andhra Pradesh,India,0.306
356,Shivpuri,Arunachal Pradesh,India,0.343
357,Ongole,Tripura,India,0.322
358,Silchar,Tamil Nadu,India,0.311
359,Durg,Bihar,India,0.105
360,Jorhat,Meghalaya,India,0.144
361,Alwar,Bihar,India,0.045
362,Korba,Tamil Nadu,India,0.241
363,Eluru,Andhra Pradesh,India,0.448
364,Morbi,Mizoram,India,0.262
365,Tinsukia,Jharkhand,India,0.254
366,Bardhaman,Manipur,India,0.395
367,Sambhal,Rajasthan,India,0.446
368,Kalyan-Dombivli,Tripura,India,0.28
369,Moradabad,Odisha,India,0.239
370,Satara,Goa,India,0.122
371,Muzaffarpur,Andhra Pradesh,India,0.301
372,Rampur,Karnataka,India,0.301
373,Berhampore,Sikkim,India,0.463
374,Morena,Manipur,India,0.208
375,Adoni,Manipur,India,0.18
376,Bellary,Manipur,India,0.316
377,Loni,Punjab,India,0.143
378,Madanapalle,Himachal Pradesh,India,0.312
379,Hindupur,Uttarakhand,India,0.147
380,Jammu,Karnataka,India,0.278
381,Vadodara,Himachal Pradesh,India,0.493
382,Nizamabad,Tamil Nadu,India,0.179
383,Machilipatnam,Manipur,India,0.324
384,Buxar,Uttarakhand,India,0.201
385,Imphal,Himachal Pradesh,India,0.204
386,Bahraich,Sikkim,India,0.433
387,Panchkula,Maharashtra,India,0.197
388,Ramgarh,Assam,India,0.153
389,Eluru,Arunachal Pradesh,India,0.571
390,Kharagpur,Odisha,India,0.04
391,Miryalaguda,Haryana,India,0.428
392,Mehsana,Bihar,India,0.294
393,Gangtok,Haryana,India,0.304
394,Gopalpur,Madhya Pradesh,India,0.351
395,Dhule,Odisha,India,0.274
396,Kakinada,Manipur,India,0.201
397,Suryapet,Tamil Nadu,India,0.376
398,Kanpur,Punjab,India,0.521
399,Berhampur,Punjab,India,0.461
400,Berhampore,Uttarakhand,India,0.17
401,Mumbai,Goa,India,0.256
402,Nangloi Jat,Andhra Pradesh,India,0.266
403,Bhiwandi,Haryana,India,0.328
404,Amaravati,Rajasthan,India,0.027
405,Durgapur,Assam,India,0.548
406,Jaipur,Mizoram,India,0.087
407,Bhagalpur,Tripura,India,0.266
408,Proddatur,Maharashtra,India,0.456
409,Suryapet,Maharashtra,India,0.465
410,Lucknow,Jharkhand,India,0.531
411,Davanagere,Sikkim,India,0.242
412,Moradabad,Chhattisgarh,India,0.596
413,Bilaspur,Uttarakhand,India,0.375
414,Belgaum,Jharkhand,India,0.32
415,Khora ,Andhra Pradesh,India,0.277
416,Proddatur,Andhra Pradesh,India,0.088
417,Srikakulam,Manipur,India,0.306
418,Rajahmundry,Sikkim,India,0.489
419,Hapur,Rajasthan,India,0.096
420,Hubli–Dharwad,Gujarat,India,0.057
421,Madurai,Himachal Pradesh,India,0.018
422,Imphal,Tamil Nadu,India,0.212
423,Madanapalle,Tamil Nadu,India,0.329
424,Ranchi,West Bengal,India,0.177
425,Thiruvananthapuram,Bihar,India,0.68
426,Panipat,Rajasthan,India,0.071
427,Bidar,Chhattisgarh,India,0.571
428,Sikar,Karnataka,India,0.389
429,Dewas,Sikkim,India,0.386
430,Jamnagar,Rajasthan,India,0.493
431,Mysore,Gujarat,India,0.244
432,Kumbakonam,Chhattisgarh,India,0.442
433,Udupi,Mizoram,India,0.11
434,Munger,Meghalaya,India,0.449
435,Anand,Manipur,India,0.313
436,Tiruvottiyur,Mizoram,India,0.333
437,Serampore,Andhra Pradesh,India,0.335
438,Medininagar,Kerala,India,0.039
439,Arrah,Jharkhand,India,0.513
440,Varanasi,Gujarat,India,0.039
441,Mysore,Assam,India,0.385
442,Jalandhar,Maharashtra,India,0.25
443,Singrauli,Himachal Pradesh,India,0.294
444,Hospet,Madhya Pradesh,India,0.332
445,Ulhasnagar,Assam,India,0.227
446,Kalyan-Dombivli,West Bengal,India,0.315
447,Farrukhabad,Meghalaya,India,0.362
448,Kochi,Assam,India,0.177
449,Danapur,Tripura,India,0.068
450,Medininagar,Sikkim,India,0.18
451,Udupi,Karnataka,India,0.092
452,Vellore,Uttar Pradesh,India,0.394
453,Moradabad,Gujarat,India,0.142
454,Ambarnath,Telangana,India,0.269
455,Phagwara,Punjab,India,0.428
456,Pali,Uttarakhand,India,0.251
457,Jaunpur,Meghalaya,India,0.203
458,Kavali,Arunachal Pradesh,India,0.17
459,Bareilly,Goa,India,0.023
460,Udupi,Punjab,India,0.175
461,Avadi,Jharkhand,India,0.156
462,Dindigul,Chhattisgarh,India,0.333
463,Burhanpur,Uttarakhand,India,0.102
464,Raebareli,Manipur,India,0.289
465,Gulbarga,Telangana,India,0.507
466,Baranagar,Goa,India,0.525
467,Ghaziabad,Arunachal Pradesh,India,0.179
468,Shahjahanpur,Meghalaya,India,0.23
469,Jalna,Gujarat,India,0.209
470,Karnal,West Bengal,India,0.284
471,Kochi,Rajasthan,India,0.185
472,Bidar,Arunachal Pradesh,India,0.246
473,Muzaffarnagar,Rajasthan,India,0.235
474,Indore,Bihar,India,0.233
475,Shivpuri,Punjab,India,0.302
476,Sultan Pur Majra,Tamil Nadu,India,0.612
477,Bharatpur,Gujarat,India,0.373
478,Belgaum,Chhattisgarh,India,0.401
479,Vijayanagaram,Telangana,India,0.235
480,Eluru,Kerala,India,0.538
481,Bidar,Assam,India,0.613
482,Burhanpur,Madhya Pradesh,India,0.279
483,Suryapet,Uttar Pradesh,India,0.572
484,Bihar Sharif,Tamil Nadu,India,0.231
485,Gulbarga,Goa,India,0.245
486,Bellary,Andhra Pradesh,India,0.109
487,Ambattur,Arunachal Pradesh,India,0.231
488,Nagaon,Madhya Pradesh,India,0.08
489,Jabalpur,Tamil Nadu,India,0.149
490,Bhatpara,Mizoram,India,0.291
491,Katihar,West Bengal,India,0.061
492,Darbhanga,Telangana,India,0.255
493,Kadapa,Jharkhand,India,0.148
494,Bidhannagar,Tripura,India,0.251
495,Ambala,Tripura,India,0.035
496,Kollam,Madhya Pradesh,India,0.169
497,Bhiwandi,Kerala,India,0.373
498,Orai,Mizoram,India,0.134
499,Ranchi,Andhra Pradesh,India,0.306
500,Chandrapur,Gujarat,India,0.418
501,Junagadh,Chhattisgarh,India,0.613
502,Katihar,Punjab,India,0.428
503,Rampur,Assam,India,0.24
504,Rewa,West Bengal,India,0.259
505,Asansol,Tripura,India,0.535
506,Nellore,Andhra Pradesh,India,0.481
507,Hubli–Dharwad,Chhattisgarh,India,0.406
508,Durg,Himachal Pradesh,India,0.136
509,Kota,Maharashtra,India,0.252
510,Burhanpur,Andhra Pradesh,India,0.165
511,Aizawl,Tripura,India,0.462
512,Bikaner,Jharkhand,India,0.317
513,Kirari Suleman Nagar,Sikkim,India,0.164
514,Kozhikode,Sikkim,India,0.262
515,Asansol,Chhattisgarh,India,0.139
516,Jodhpur,Sikkim,India,0.385
517,Mira-Bhayandar,Manipur,India,0.504
518,Ghaziabad,Haryana,India,0.34
519,Mira-Bhayandar,Nagaland,India,0.279
520,Vijayawada,Andhra Pradesh,India,0.295
521,Mau,Punjab,India,0.522
522,Kota,Mizoram,India,0.296
523,Proddatur,Jharkhand,India,0.652
524,Hubli–Dharwad,Andhra Pradesh,India,0.12
525,Pune,Arunachal Pradesh,India,0.815
526,Pune,Himachal Pradesh,India,0.549
527,Munger,West Bengal,India,0.317
528,Berhampore,Mizoram,India,0.462
529,Tumkur,Arunachal Pradesh,India,0.202
530,Rohtak,Tamil Nadu,India,0.196
531,Shimla,Mizoram,India,0.415
532,Hyderabad,Uttar Pradesh,India,0.302
533,Thane,Karnataka,India,0.122
534,Ballia,Chhattisgarh,India,0.209
535,Aizawl,Manipur,India,0.387
536,Imphal,Himachal Pradesh,India,0.327
537,Bhagalpur,Punjab,India,0.177
538,Ranchi,Manipur,India,0.353
539,Alwar,Gujarat,India,0.346
540,Dehri,Kerala,India,0.474
541,Ozhukarai,Punjab,India,0.127
542,Hindupur,Himachal Pradesh,India,0.327
543,Agartala,Telangana,India,0.336
544,Patiala,Karnataka,India,0.565
545,Proddatur,Jharkhand,India,0.17
546,Parbhani,Odisha,India,0.398
547,Amravati,Sikkim,India,0.192
548,Saharanpur,Punjab,India,0.274
549,South Dumdum,Uttar Pradesh,India,0.045
550,Kumbakonam,Gujarat,India,0.147
551,Ahmedabad,Kerala,India,0.066
552,Hajipur,Tripura,India,0.473
553,Chinsurah,Telangana,India,0.287
554,Narasaraopet,Gujarat,India,0.252
555,Ratlam,Kerala,India,0.751
556,Sagar,Assam,India,0.287
557,Chinsurah,Maharashtra,India,0.398
558,Dindigul,Maharashtra,India,0.73
559,Phagwara,Uttar Pradesh,India,0.463
560,Pune,Andhra Pradesh,India,0.236
561,Haldia,Rajasthan,India,0.494
562,Bidar,Andhra Pradesh,India,0.098
563,Bareilly,Tripura,India,0.327
564,Jodhpur,Tamil Nadu,India,0.234
565,Meerut,Himachal Pradesh,India,0.286
566,Bathinda,Karnataka,India,0.306
567,Serampore,Meghalaya,India,0.292
568,Shivpuri,West Bengal,India,0.214
569,Chandrapur,Meghalaya,India,0.162
570,Salem,Haryana,India,0.268
571,Gandhinagar,Telangana,India,0.334
572,Gangtok,Manipur,India,0.338
573,Hubli–Dharwad,Punjab,India,0.076
574,Sagar,Uttar Pradesh,India,0.088
575,Pali,Rajasthan,India,0.671
576,Anantapuram,Arunachal Pradesh,India,0.278
577,Amaravati,Bihar,India,0.315
578,Kollam,Telangana,India,0.011
579,Kakinada,Maharashtra,India,0.315
580,Ahmednagar,Meghalaya,India,0.014
581,Chapra,Bihar,India,0.072
582,Tadepalligudem,Sikkim,India,0.279
583,Ballia,Mizoram,India,0.486
584,Jalandhar,Nagaland,India,0.449
585,Thiruvananthapuram,Mizoram,India,0.585
586,Sikar,Chhattisgarh,India,0.345
587,Deoghar,Kerala,India,0.41
588,Davanagere,Sikkim,India,0.236
589,Indore,Maharashtra,India,0.593
590,Pune,Uttar Pradesh,India,0.139
591,Mangalore,West Bengal,India,0.225
592,Farrukhabad,Rajasthan,India,0.479
593,Bongaigaon,Tripura,India,0.193
594,Pallavaram,Tripura,India,0.152
595,Karnal,West Bengal,India,0.28
596,Ulhasnagar,Mizoram,India,0.072
597,Katihar,Tripura,India,0.236
598,Surat,Punjab,India,0.163
599,Bhusawal,Mizoram,India,0.256
600,Begusarai,Kerala,India,0.422
601,Sikar,Rajasthan,India,0.039
602,Raichur,Telangana,India,0.18
603,Darbhanga,Nagaland,India,0.385
604,Kolkata,Kerala,India,0.2
605,Saharanpur,Goa,India,0.166
606,Giridih,Goa,India,0.171
607,Bikaner,Meghalaya,India,0.22
608,Surendranagar Dudhrej,Maharashtra,India,0.204
609,Tumkur,Himachal Pradesh,India,0.329
610,Anantapuram,Nagaland,India,0.256
611,Kottayam,Karnataka,India,0.212
612,Adoni,Manipur,India,0.444
613,Khandwa,Manipur,India,0.573
614,Khora ,Punjab,India,0.466
615,Guntur,Assam,India,0.327
616,Secunderabad,Gujarat,India,0.308
617,Unnao,Bihar,India,0.26
618,Rampur,Uttar Pradesh,India,0.183
619,Avadi,Tripura,India,0.297
620,Katni,Karnataka,India,0.174
621,Muzaffarnagar,Himachal Pradesh,India,0.274
622,Jabalpur,Rajasthan,India,0.459
623,Ozhukarai,Goa,India,0.399
624,Sasaram,West Bengal,India,0.053
625,Kochi,Uttarakhand,India,0.2
626,South Dumdum,Tamil Nadu,India,0.112
627,Ichalkaranji,Assam,India,0.325
628,Madhyamgram,Himachal Pradesh,India,0.489
629,Dhule,Sikkim,India,0.416
630,Jamalpur,Meghalaya,India,0.59
631,Dehradun,Maharashtra,India,0.117
632,Imphal,Manipur,India,0.217
633,Ludhiana,Uttarakhand,India,0.752
634,Meerut,Himachal Pradesh,India,0.295
635,Ulhasnagar,Meghalaya,India,0.434
636,Aurangabad,Kerala,India,0.591
637,Madhyamgram,Uttar Pradesh,India,0.166
638,Karawal Nagar,Rajasthan,India,0.188
639,Alwar,Gujarat,India,0.512
640,Kota,Jharkhand,India,0.638
641,Raebareli,Mizoram,India,0.267
642,Gaya,West Bengal,India,0.173
643,Narasaraopet,Uttarakhand,India,0.091
644,Bahraich,Odisha,India,0.308
645,Gwalior,Sikkim,India,0.406
646,Indore,Manipur,India,0.181
647,Madanapalle,Andhra Pradesh,India,0.379
648,Gulbarga,Madhya Pradesh,India,0.132
649,Tezpur,Punjab,India,0.63
650,Tadipatri,Goa,India,0.211
651,Kharagpur,Punjab,India,0.234
652,Nagercoil,Meghalaya,India,0.207
653,Jaipur,Bihar,India,0.171
654,Bhatpara,Telangana,India,0.502
655,Guntur,Himachal Pradesh,India,0.37
656,Danapur,Odisha,India,0.301
657,Ballia,Manipur,India,0.377
658,Thoothukudi,Mizoram,India,0.21
