device_id,device_type,os,device_risk_score
159,mobile,Android,0.418
160,web,Windows,0.103
161,mobile,iOS,0.173
162,mobile,Windows,0.208
163,mobile,Android,0.176
164,mobile,Android,0.418
165,mobile,Android,0.144
166,web,Android,0.497
167,mobile,Android,0.19
168,mobile,Android,0.35
169,mobile,Android,0.276
170,mobile,Android,0.163
171,mobile,Android,0.271
172,mobile,Android,0.088
173,mobile,iOS,0.251
174,mobile,iOS,0.265
175,mobile,Android,0.355
176,mobile,iOS,0.151
177,mobile,Android,0.198
178,web,Android,0.051
179,mobile,Android,0.485
180,mobile,iOS,0.334
181,mobile,Android,0.302
182,mobile,Android,0.503
183,mobile,Android,0.164
184,mobile,Android,0.363
185,web,Android,0.313
186,mobile,Android,0.066
187,mobile,iOS,0.315
188,mobile,iOS,0.482
189,mobile,Android,0.128
190,mobile,Android,0.272
191,mobile,Android,0.178
192,mobile,Android,0.506
193,mobile,Android,0.307
194,mobile,Android,0.133
195,mobile,iOS,0.407
196,mobile,Android,0.336
197,mobile,iOS,0.041
198,mobile,Android,0.412
199,mobile,Android,0.46
200,mobile,iOS,0.308
201,mobile,Windows,0.255
202,mobile,Android,0.318
203,web,Android,0.331
204,mobile,Android,0.439
205,mobile,Android,0.236
206,mobile,Android,0.223
207,mobile,Android,0.116
208,mobile,Android,0.388
209,mobile,Android,0.381
210,mobile,Android,0.377
211,mobile,Android,0.349
212,mobile,Android,0.112
213,web,Android,0.443
214,mobile,Android,0.328
215,mobile,Android,0.251
216,mobile,Android,0.174
217,mobile,Android,0.117
218,mobile,Android,0.442
219,mobile,Android,0.121
220,mobile,Android,0.188
221,web,iOS,0.441
222,mobile,Android,0.235
223,web,Android,0.142
224,mobile,iOS,0.059
225,mobile,Android,0.507
226,mobile,Android,0.175
227,web,Android,0.48
228,web,Android,0.116
229,mobile,Android,0.3
230,mobile,Android,0.477
231,mobile,Android,0.282
232,mobile,iOS,0.454
233,web,Android,0.069
234,mobile,Windows,0.591
235,mobile,Android,0.15
236,mobile,iOS,0.37
237,mobile,iOS,0.494
238,mobile,iOS,0.31
239,mobile,iOS,0.169
240,mobile,iOS,0.237
241,mobile,Android,0.218
242,mobile,Android,0.178
243,web,Android,0.336
244,mobile,Android,0.667
245,mobile,Android,0.185
246,mobile,Android,0.161
247,mobile,iOS,0.319
248,mobile,Android,0.219
249,mobile,Android,0.478
250,mobile,Android,0.644
251,web,Android,0.276
252,mobile,Android,0.42
253,web,Android,0.694
254,mobile,Windows,0.126
255,mobile,Android,0.559
256,mobile,Android,0.676
257,web,Android,0.53
258,mobile,Android,0.08
259,mobile,Android,0.076
260,mobile,Android,0.293
261,web,iOS,0.298
262,web,Android,0.666
263,web,Android,0.505
264,mobile,Android,0.46
265,mobile,Android,0.197
266,mobile,Android,0.375
267,mobile,Android,0.285
268,mobile,Android,0.267
269,mobile,Android,0.391
270,mobile,iOS,0.102
271,mobile,Android,0.533
272,mobile,Windows,0.108
273,mobile,iOS,0.298
274,mobile,Android,0.273
275,mobile,Android,0.223
276,mobile,Android,0.341
277,mobile,Android,0.242
278,web,iOS,0.106
279,mobile,Android,0.638
280,mobile,Android,0.218
281,mobile,Android,0.349
282,mobile,Android,0.071
283,mobile,Android,0.117
284,mobile,Windows,0.341
285,web,Windows,0.432
286,mobile,Android,0.554
287,mobile,Android,0.571
288,mobile,Android,0.206
289,mobile,Android,0.146
290,mobile,Android,0.379
291,mobile,Android,0.502
292,mobile,iOS,0.265
293,mobile,Android,0.199
294,mobile,iOS,0.336
295,mobile,Android,0.298
296,mobile,Android,0.369
297,mobile,Android,0.289
298,mobile,Android,0.253
299,mobile,iOS,0.185
300,mobile,Android,0.281
301,mobile,Android,0.37
302,web,Android,0.19
303,mobile,Android,0.19
304,mobile,Android,0.229
305,mobile,Android,0.124
306,mobile,Android,0.062
307,mobile,Android,0.085
308,mobile,Android,0.373
309,mobile,Android,0.122
310,mobile,iOS,0.338
311,mobile,Android,0.437
312,mobile,Android,0.087
313,mobile,Android,0.292
314,mobile,iOS,0.289
315,mobile,Android,0.072
316,mobile,Android,0.321
317,mobile,Android,0.692
318,mobile,iOS,0.406
319,mobile,Android,0.472
320,mobile,Android,0.439
321,mobile,Android,0.406
322,web,Android,0.417
323,mobile,Android,0.585
324,mobile,Android,0.078
325,mobile,Android,0.131
326,mobile,Android,0.201
327,mobile,Android,0.421
328,mobile,Android,0.036
329,mobile,Android,0.331
330,web,Android,0.048
331,mobile,Android,0.123
332,web,Android,0.142
333,mobile,Android,0.34
334,mobile,Android,0.295
335,mobile,Android,0.458
336,mobile,Android,0.24
337,mobile,Android,0.089
338,mobile,iOS,0.313
339,mobile,iOS,0.201
340,mobile,Android,0.542
341,mobile,Android,0.153
342,mobile,iOS,0.084
343,mobile,Android,0.462
344,mobile,Android,0.509
345,mobile,Android,0.245
346,mobile,Android,0.252
347,mobile,Android,0.179
348,mobile,Android,0.207
349,mobile,Android,0.297
350,mobile,Android,0.62
351,mobile,Windows,0.495
352,mobile,Android,0.07
353,mobile,Android,0.136
354,mobile,Android,0.1
355,mobile,Android,0.129
356,mobile,Android,0.449
357,mobile,Android,0.207
358,mobile,Android,0.067
359,mobile,Android,0.343
360,mobile,Android,0.169
361,mobile,Android,0.606
362,mobile,iOS,0.056
363,mobile,Android,0.328
364,mobile,Android,0.218
365,mobile,Android,0.576
366,mobile,Windows,0.324
367,mobile,Android,0.177
368,mobile,Android,0.631
369,mobile,Android,0.362
370,mobile,Android,0.219
371,mobile,Android,0.234
372,mobile,Android,0.103
373,mobile,Android,0.028
374,mobile,Android,0.303
375,mobile,Android,0.384
376,mobile,Android,0.238
377,mobile,Android,0.46
378,mobile,Android,0.33
379,mobile,iOS,0.185
380,mobile,Android,0.308
381,mobile,Android,0.309
382,mobile,Android,0.253
383,mobile,Android,0.227
384,mobile,iOS,0.385
385,mobile,Android,0.599
386,mobile,Android,0.365
387,mobile,Android,0.024
388,mobile,Android,0.183
389,mobile,Android,0.461
390,mobile,Android,0.516
391,web,Android,0.197
392,mobile,Android,0.349
393,mobile,Android,0.203
394,mobile,Android,0.154
395,mobile,iOS,0.096
396,mobile,iOS,0.498
397,mobile,Android,0.232
398,mobile,Android,0.571
399,web,Android,0.631
400,mobile,Android,0.301
401,mobile,Windows,0.354
402,mobile,Android,0.171
403,mobile,iOS,0.358
404,mobile,Android,0.53
405,mobile,Windows,0.393
406,mobile,iOS,0.737
407,mobile,Android,0.114
408,mobile,Android,0.236
409,mobile,Android,0.163
410,mobile,Android,0.416
411,mobile,Android,0.199
412,mobile,Android,0.08
413,mobile,Android,0.184
414,mobile,Android,0.559
415,mobile,Android,0.442
416,mobile,Android,0.091
417,mobile,Android,0.302
418,mobile,Android,0.166
419,mobile,iOS,0.44
420,mobile,Android,0.122
421,mobile,Android,0.849
422,mobile,Android,0.768
423,mobile,Android,0.244
424,mobile,Android,0.279
425,mobile,Android,0.164
426,web,Android,0.204
427,mobile,Android,0.105
428,mobile,Android,0.282
429,mobile,Android,0.292
430,mobile,Android,0.275
431,mobile,Android,0.167
432,mobile,iOS,0.175
433,mobile,Android,0.015
434,mobile,iOS,0.341
435,mobile,Android,0.093
436,mobile,Android,0.448
437,mobile,iOS,0.107
438,mobile,Android,0.092
439,mobile,Android,0.221
440,web,Android,0.405
441,mobile,Android,0.047
442,web,Android,0.18
443,mobile,Android,0.332
444,mobile,Android,0.132
445,mobile,iOS,0.041
446,mobile,Android,0.205
447,mobile,iOS,0.302
448,web,iOS,0.452
449,mobile,iOS,0.224
450,mobile,Windows,0.244
451,web,Windows,0.189
452,mobile,Android,0.159
453,mobile,Android,0.414
454,web,iOS,0.267
455,mobile,Android,0.494
456,mobile,iOS,0.358
457,mobile,iOS,0.621
458,mobile,Android,0.342
459,web,Android,0.189
460,mobile,Android,0.334
461,mobile,Android,0.071
462,mobile,Android,0.224
463,mobile,Android,0.3
464,mobile,Android,0.497
465,mobile,Android,0.236
466,mobile,iOS,0.116
467,mobile,Android,0.246
468,mobile,Android,0.359
469,mobile,Android,0.396
470,web,Android,0.229
471,mobile,iOS,0.534
472,mobile,Android,0.367
473,mobile,iOS,0.053
474,web,Android,0.396
475,mobile,Android,0.451
476,mobile,Android,0.223
477,mobile,Android,0.44
478,mobile,Android,0.442
479,mobile,Android,0.3
480,mobile,Android,0.274
481,mobile,Android,0.439
482,mobile,Android,0.307
483,mobile,Android,0.705
484,mobile,Android,0.214
485,mobile,Android,0.195
486,mobile,Android,0.267
487,mobile,Android,0.368
488,mobile,Android,0.433
489,mobile,Android,0.496
490,web,Android,0.339
491,web,iOS,0.239
492,web,Android,0.291
493,mobile,iOS,0.106
494,mobile,Android,0.342
495,mobile,iOS,0.383
496,mobile,Windows,0.671
497,mobile,iOS,0.052
498,mobile,iOS,0.447
499,mobile,Android,0.121
500,mobile,Windows,0.616
501,mobile,Android,0.321
502,mobile,iOS,0.787
503,web,Android,0.431
504,mobile,iOS,0.027
505,mobile,iOS,0.182
506,mobile,Android,0.519
507,mobile,Android,0.206
508,mobile,iOS,0.342
509,web,Android,0.2
510,mobile,Android,0.264
511,web,Android,0.179
512,mobile,Android,0.227
513,mobile,Android,0.43
514,mobile,iOS,0.244
515,mobile,Android,0.296
516,mobile,Android,0.241
517,mobile,Android,0.328
518,mobile,Android,0.301
519,web,Android,0.824
520,mobile,Android,0.284
521,mobile,Android,0.866
522,web,Android,0.231
523,web,iOS,0.022
524,mobile,Android,0.229
525,mobile,Android,0.273
526,web,Android,0.301
527,mobile,Android,0.203
528,mobile,Android,0.149
529,web,Android,0.258
530,mobile,Android,0.535
531,mobile,Android,0.015
532,mobile,Android,0.545
533,mobile,Android,0.24
534,mobile,Android,0.095
535,mobile,Android,0.229
536,mobile,iOS,0.062
537,mobile,Android,0.033
538,mobile,Android,0.292
539,mobile,Windows,0.171
540,mobile,Android,0.051
541,mobile,Android,0.367
542,mobile,iOS,0.075
543,mobile,iOS,0.034
544,mobile,Android,0.434
545,mobile,Android,0.512
546,mobile,Android,0.615
547,mobile,Android,0.352
548,mobile,iOS,0.068
549,mobile,Android,0.089
550,mobile,Android,0.718
551,mobile,Android,0.047
552,web,Android,0.086
553,mobile,iOS,0.172
554,mobile,iOS,0.13
555,mobile,Windows,0.288
556,mobile,Android,0.142
557,web,Android,0.43
558,mobile,Android,0.447
559,mobile,Android,0.308
560,web,Android,0.332
561,web,iOS,0.043
562,mobile,Android,0.226
563,mobile,iOS,0.336
564,mobile,Android,0.148
565,mobile,Android,0.216
566,mobile,Android,0.648
567,mobile,iOS,0.053
568,web,Android,0.178
569,mobile,Android,0.212
570,mobile,Android,0.318
571,mobile,Android,0.052
572,mobile,Android,0.04
573,mobile,iOS,0.129
574,mobile,Android,0.311
575,mobile,Android,0.1
576,mobile,Android,0.317
577,mobile,Android,0.235
578,mobile,Android,0.35
579,web,iOS,0.086
580,mobile,Android,0.349
581,mobile,Android,0.187
582,mobile,Android,0.262
583,mobile,Android,0.416
584,mobile,Android,0.078
585,mobile,Android,0.369
586,mobile,Android,0.335
587,mobile,Android,0.181
588,mobile,Android,0.209
589,mobile,Android,0.406
590,mobile,Android,0.182
591,mobile,Android,0.54
592,mobile,Android,0.237
593,mobile,Android,0.104
594,mobile,Android,0.089
595,mobile,Android,0.173
596,mobile,Android,0.45
597,mobile,Android,0.224
598,mobile,Android,0.131
599,mobile,Windows,0.148
600,mobile,Android,0.289
601,mobile,Android,0.308
602,mobile,Android,0.117
603,mobile,Android,0.128
604,mobile,Android,0.148
605,mobile,Android,0.241
606,mobile,Android,0.179
607,mobile,Android,0.227
608,web,Windows,0.093
609,web,Android,0.365
610,mobile,iOS,0.279
611,mobile,Android,0.473
612,mobile,Android,0.406
613,mobile,Android,0.327
614,mobile,Android,0.413
615,web,Android,0.088
616,mobile,Android,0.374
617,mobile,Android,0.085
618,mobile,Android,0.523
619,mobile,Windows,0.156
620,mobile,Android,0.126
621,mobile,Android,0.338
622,web,Android,0.454
623,mobile,Android,0.11
624,mobile,Android,0.701
625,mobile,iOS,0.187
626,mobile,Android,0.156
627,mobile,Windows,0.281
628,web,Android,0.054
629,mobile,Android,0.178
630,mobile,Android,0.213
631,mobile,iOS,0.529
632,mobile,Android,0.113
633,mobile,Android,0.17
634,mobile,Android,0.508
635,mobile,iOS,0.537
636,mobile,Android,0.198
637,mobile,Android,0.389
638,mobile,Android,0.431
639,mobile,iOS,0.39
640,mobile,Android,0.3
641,mobile,Android,0.209
642,mobile,Android,0.256
643,mobile,Android,0.388
644,mobile,iOS,0.165
645,mobile,Android,0.318
646,mobile,iOS,0.14
647,mobile,Android,0.168
648,web,Android,0.342
649,mobile,Android,0.372
650,mobile,Android,0.198
651,mobile,iOS,0.265
652,mobile,Android,0.48
653,web,Android,0.456
654,mobile,Android,0.24
655,mobile,Android,0.292
656,mobile,Android,0.518
657,mobile,Android,0.147
658,web,Android,0.277
659,web,iOS,0.33
660,mobile,Windows,0.167
661,mobile,Android,0.346
662,mobile,Android,0.243
663,web,Android,0.054
664,mobile,Android,0.499
665,mobile,iOS,0.134
666,mobile,Android,0.062
667,mobile,Android,0.271
668,mobile,Android,0.252
669,mobile,Android,0.204
670,mobile,iOS,0.083
671,mobile,Android,0.177
672,web,Android,0.467
673,web,Android,0.279
674,mobile,iOS,0.398
675,mobile,Android,0.313
676,mobile,iOS,0.058
677,mobile,Android,0.238
678,web,Windows,0.299
679,mobile,Android,0.193
680,mobile,Android,0.531
681,mobile,iOS,0.535
682,web,Android,0.168
683,mobile,Android,0.287
684,mobile,Android,0.175
685,mobile,Android,0.557
686,web,Android,0.281
687,mobile,iOS,0.291
688,mobile,Android,0.568
689,mobile,Android,0.518
690,mobile,Android,0.298
691,mobile,Android,0.499
692,mobile,Android,0.152
693,mobile,Android,0.333
694,mobile,Android,0.698
695,mobile,Android,0.363
696,web,iOS,0.117
697,mobile,iOS,0.578
698,mobile,Android,0.78
699,mobile,Android,0.244
700,mobile,Android,0.445
701,mobile,Android,0.045
702,mobile,Android,0.36
703,mobile,Android,0.43
704,mobile,Android,0.236
705,web,Android,0.143
706,mobile,Android,0.074
707,mobile,Android,0.088
708,mobile,iOS,0.244
709,mobile,iOS,0.318
710,mobile,iOS,0.255
711,mobile,iOS,0.293
712,mobile,iOS,0.055
713,mobile,iOS,0.239
714,mobile,Android,0.469
715,mobile,Android,0.535
716,mobile,Android,0.295
717,mobile,Android,0.154
718,web,iOS,0.144
719,mobile,Android,0.525
720,web,Android,0.052
721,mobile,Android,0.119
722,mobile,Android,0.221
723,mobile,Android,0.826
724,mobile,Android,0.217
725,mobile,Android,0.719
726,mobile,iOS,0.219
727,mobile,iOS,0.335
728,web,Android,0.328
729,mobile,Android,0.462
730,mobile,Android,0.212
731,web,Android,0.308
732,mobile,Android,0.365
733,mobile,Android,0.15
734,web,Android,0.352
735,mobile,Android,0.45
736,mobile,Android,0.264
737,mobile,Android,0.391
738,mobile,Android,0.236
739,mobile,Android,0.418
740,mobile,Android,0.386
741,mobile,Android,0.575
742,mobile,Android,0.288
743,mobile,Android,0.051
744,mobile,Android,0.134
745,mobile,Android,0.273
746,mobile,Android,0.35
747,mobile,Android,0.108
748,mobile,iOS,0.481
749,mobile,iOS,0.296
750,mobile,iOS,0.305
751,web,Android,0.109
752,mobile,Android,0.463
753,mobile,Windows,0.322
754,mobile,iOS,0.258
755,web,Android,0.268
756,mobile,Android,0.051
757,mobile,Android,0.197
758,web,Windows,0.393
759,mobile,iOS,0.365
760,mobile,Android,0.676
761,web,Android,0.381
762,mobile,Android,0.339
763,mobile,Android,0.107
764,mobile,Android,0.061
765,mobile,Android,0.387
766,mobile,Android,0.319
767,mobile,Android,0.012
768,mobile,Android,0.056
769,mobile,Windows,0.151
770,mobile,iOS,0.161
771,mobile,iOS,0.334
772,mobile,Android,0.239
773,mobile,Android,0.386
774,mobile,Android,0.307
775,mobile,iOS,0.085
776,web,Android,0.274
777,mobile,Android,0.111
778,mobile,iOS,0.512
779,web,Android,0.159
780,mobile,Android,0.229
781,mobile,Android,0.233
782,mobile,Android,0.478
783,mobile,Android,0.182
784,mobile,Android,0.07
785,mobile,Android,0.118
786,mobile,Android,0.539
787,mobile,iOS,0.377
788,web,Android,0.619
789,mobile,Android,0.115
790,mobile,Android,0.137
791,mobile,Android,0.113
792,mobile,Android,0.462
793,mobile,Android,0.203
794,mobile,Android,0.138
795,mobile,Android,0.211
796,web,Android,0.082
797,mobile,iOS,0.183
798,mobile,Android,0.117
799,mobile,Android,0.437
800,mobile,Android,0.165
801,mobile,Android,0.192
802,mobile,Android,0.192
803,mobile,Android,0.348
804,mobile,Android,0.198
805,mobile,Android,0.347
806,mobile,Android,0.055
807,mobile,Android,0.466
808,mobile,Android,0.044
809,mobile,Android,0.069
810,mobile,Android,0.397
811,mobile,Android,0.318
812,mobile,iOS,0.324
813,mobile,iOS,0.348
814,mobile,Android,0.156
815,mobile,iOS,0.112
816,mobile,Android,0.458
817,mobile,Android,0.346
818,mobile,Android,0.209
819,mobile,Android,0.62
820,mobile,Android,0.611
821,mobile,Windows,0.145
822,mobile,Windows,0.082
823,web,Android,0.536
824,mobile,Android,0.354
825,mobile,iOS,0.235
826,mobile,Android,0.254
827,mobile,Android,0.297
828,mobile,iOS,0.481
829,mobile,Android,0.021
830,mobile,iOS,0.569
831,mobile,Android,0.318
832,mobile,Android,0.125
833,mobile,iOS,0.104
834,mobile,Android,0.149
835,mobile,Android,0.478
836,mobile,Android,0.225
837,web,Android,0.643
838,mobile,Android,0.141
839,mobile,iOS,0.459
840,mobile,Android,0.065
841,mobile,Android,0.159
842,mobile,Android,0.314
843,mobile,iOS,0.038
844,mobile,Android,0.041
845,mobile,Windows,0.441
846,mobile,Android,0.471
847,mobile,Android,0.388
848,mobile,Android,0.329
849,mobile,Android,0.023
850,mobile,Android,0.224
851,mobile,Android,0.154
852,mobile,iOS,0.186
853,mobile,Android,0.184
854,mobile,Android,0.183
855,mobile,Android,0.212
856,mobile,Android,0.37
857,mobile,Android,0.642
858,mobile,Android,0.518
859,mobile,Android,0.109
860,mobile,iOS,0.132
861,mobile,Windows,0.595
862,mobile,Android,0.177
863,mobile,Windows,0.115
864,mobile,Android,0.129
865,mobile,Android,0.545
866,mobile,Android,0.147
867,mobile,iOS,0.06
868,mobile,Windows,0.074
869,mobile,iOS,0.22
870,mobile,Android,0.444
871,web,iOS,0.28
872,mobile,Android,0.428
873,mobile,Android,0.131
874,web,Android,0.47
875,mobile,iOS,0.263
876,mobile,Android,0.114
877,mobile,Android,0.757
878,mobile,Android,0.201
879,mobile,Android,0.128
880,mobile,Android,0.385
881,mobile,Android,0.608
882,mobile,Android,0.589
883,mobile,Android,0.124
884,mobile,Android,0.11
885,mobile,iOS,0.206
886,mobile,Android,0.323
887,mobile,Windows,0.143
888,mobile,Android,0.301
889,mobile,Android,0.242
890,mobile,Android,0.562
891,mobile,iOS,0.499
892,mobile,iOS,0.125
893,mobile,iOS,0.596
894,mobile,Android,0.141
895,mobile,Android,0.509
896,mobile,iOS,0.192
897,mobile,Android,0.216
898,mobile,Android,0.252
899,mobile,Android,0.116
900,mobile,Android,0.294
901,mobile,iOS,0.46
902,mobile,iOS,0.307
903,mobile,iOS,0.16
904,mobile,iOS,0.103
905,mobile,Android,0.095
906,mobile,Android,0.226
907,mobile,Android,0.313
908,mobile,iOS,0.054
909,mobile,Android,0.267
910,web,Android,0.279
911,mobile,Android,0.401
912,mobile,Android,0.166
913,mobile,iOS,0.192
914,mobile,iOS,0.332
915,mobile,Android,0.453
916,mobile,Android,0.19
917,mobile,Android,0.485
918,mobile,Android,0.143
919,mobile,Android,0.053
920,mobile,iOS,0.47
921,mobile,Android,0.157
922,mobile,Android,0.279
923,mobile,Android,0.122
924,web,Android,0.173
925,web,Android,0.469
926,mobile,iOS,0.184
927,mobile,Android,0.031
928,mobile,Android,0.157
929,mobile,Android,0.228
930,mobile,Android,0.164
931,mobile,Android,0.192
932,mobile,Android,0.279
933,mobile,Windows,0.228
934,mobile,Android,0.405
935,mobile,Android,0.447
936,mobile,Android,0.275
937,mobile,Android,0.08
938,mobile,Android,0.34
939,mobile,iOS,0.115
940,mobile,iOS,0.172
941,mobile,Android,0.238
942,mobile,Android,0.105
943,mobile,Android,0.314
944,mobile,iOS,0.379
945,mobile,Android,0.454
946,mobile,Android,0.063
947,mobile,Android,0.414
948,mobile,iOS,0.459
949,mobile,Android,0.019
950,mobile,iOS,0.522
951,mobile,Android,0.267
952,mobile,Android,0.079
953,mobile,Android,0.505
954,mobile,Android,0.501
955,mobile,iOS,0.418
956,mobile,Android,0.288
957,mobile,Android,0.531
958,mobile,iOS,0.412
959,mobile,Android,0.372
960,web,iOS,0.338
961,mobile,Android,0.367
962,web,Android,0.125
963,mobile,iOS,0.145
964,mobile,Android,0.261
965,mobile,Android,0.466
966,mobile,Android,0.402
967,mobile,Android,0.687
968,mobile,Android,0.182
969,mobile,Android,0.21
970,mobile,Android,0.131
971,mobile,Android,0.56
972,mobile,Android,0.364
973,mobile,Android,0.299
974,mobile,Android,0.059
975,mobile,Android,0.384
976,mobile,iOS,0.28
977,mobile,iOS,0.157
978,mobile,Android,0.544
979,mobile,Android,0.206
980,mobile,Android,0.067
981,mobile,iOS,0.199
982,mobile,Android,0.348
983,mobile,Android,0.221
984,mobile,iOS,0.43
985,mobile,Android,0.302
986,mobile,Windows,0.618
987,mobile,Android,0.518
988,mobile,Android,0.215
989,mobile,Android,0.534
990,mobile,Windows,0.125
991,mobile,Android,0.338
992,mobile,Android,0.191
993,mobile,Windows,0.58
994,mobile,iOS,0.065
995,web,Android,0.39
996,web,Android,0.225
997,mobile,iOS,0.378
998,mobile,Android,0.407
999,mobile,Android,0.567
1000,mobile,Windows,0.531
1001,mobile,Android,0.459
1002,mobile,iOS,0.175
1003,mobile,iOS,0.047
1004,mobile,Android,0.393
1005,mobile,Android,0.067
1006,mobile,Android,0.195
1007,web,Android,0.51
1008,mobile,Android,0.21
1009,mobile,Android,0.539
1010,mobile,Android,0.171
1011,mobile,Windows,0.301
1012,mobile,Android,0.308
1013,mobile,iOS,0.368
1014,web,Android,0.11
1015,mobile,Windows,0.346
1016,mobile,Android,0.567
1017,mobile,iOS,0.123
1018,mobile,Android,0.428
1019,mobile,Android,0.289
1020,web,Android,0.44
1021,mobile,Android,0.244
1022,mobile,Android,0.371
1023,mobile,Android,0.686
1024,mobile,Android,0.282
1025,mobile,Android,0.309
1026,mobile,Android,0.047
1027,web,Android,0.128
1028,web,Android,0.152
1029,mobile,iOS,0.497
1030,mobile,Android,0.351
1031,mobile,Android,0.308
1032,mobile,Android,0.132
1033,mobile,Android,0.193
1034,mobile,iOS,0.091
1035,mobile,iOS,0.155
1036,mobile,Android,0.13
1037,mobile,Android,0.304
1038,mobile,Android,0.34
1039,mobile,Android,0.396
1040,mobile,Android,0.179
1041,mobile,Android,0.211
1042,mobile,Android,0.127
1043,mobile,Android,0.098
1044,web,Android,0.084
1045,mobile,Android,0.127
1046,web,Android,0.186
1047,mobile,Android,0.44
1048,mobile,Android,0.07
1049,mobile,Android,0.271
1050,mobile,Android,0.161
1051,mobile,Android,0.301
1052,mobile,Android,0.119
1053,mobile,Android,0.286
1054,mobile,Android,0.197
1055,mobile,Android,0.188
1056,mobile,Android,0.232
1057,mobile,Android,0.362
1058,mobile,Android,0.192
1059,mobile,Android,0.135
1060,mobile,Android,0.139
1061,mobile,Android,0.276
1062,mobile,Android,0.33
1063,mobile,Android,0.149
1064,mobile,Android,0.399
1065,web,Android,0.115
1066,mobile,Android,0.274
1067,mobile,iOS,0.033
