merchant_id,category,merchant_risk_score
111,fashion,0.338
112,appliances,0.569
113,grocery,0.334
114,furniture,0.236
115,appliances,0.178
116,appliances,0.562
117,electronics,0.331
118,appliances,0.406
119,fashion,0.1
120,grocery,0.17
121,appliances,0.274
122,furniture,0.496
123,appliances,0.231
124,appliances,0.078
125,grocery,0.082
126,fashion,0.136
127,furniture,0.057
128,appliances,0.235
129,grocery,0.085
130,fashion,0.616
131,grocery,0.209
132,appliances,0.126
133,grocery,0.146
134,grocery,0.076
135,grocery,0.156
136,furniture,0.227
137,furniture,0.17
138,grocery,0.109
139,grocery,0.137
140,grocery,0.104
141,electronics,0.169
142,appliances,0.083
143,grocery,0.293
144,furniture,0.582
145,fashion,0.106
146,grocery,0.203
147,electronics,0.143
148,grocery,0.154
149,grocery,0.201
150,appliances,0.198
151,fashion,0.336
152,appliances,0.241
153,fashion,0.398
154,furniture,0.395
155,fashion,0.128
156,appliances,0.638
157,electronics,0.153
158,grocery,0.399
159,appliances,0.466
160,fashion,0.317
161,appliances,0.116
162,appliances,0.444
163,grocery,0.145
164,furniture,0.157
165,furniture,0.046
166,furniture,0.165
167,electronics,0.143
168,fashion,0.212
169,electronics,0.326
170,grocery,0.149
171,appliances,0.106
172,furniture,0.413
173,appliances,0.462
174,fashion,0.205
175,appliances,0.184
176,grocery,0.173
177,fashion,0.037
178,appliances,0.333
179,grocery,0.11
180,appliances,0.587
181,grocery,0.035
182,appliances,0.484
183,fashion,0.216
184,appliances,0.384
185,appliances,0.411
186,appliances,0.233
187,appliances,0.303
188,grocery,0.199
189,appliances,0.484
190,furniture,0.229
191,furniture,0.62
192,electronics,0.314
193,appliances,0.396
194,fashion,0.181
195,electronics,0.157
196,grocery,0.432
197,fashion,0.532
198,furniture,0.524
199,fashion,0.344
200,appliances,0.314
201,electronics,0.612
202,furniture,0.192
203,appliances,0.131
204,furniture,0.442
205,grocery,0.306
206,furniture,0.406
207,appliances,0.146
208,fashion,0.116
209,furniture,0.095
210,electronics,0.363
211,electronics,0.256
212,grocery,0.235
213,electronics,0.266
214,grocery,0.262
215,fashion,0.257
216,appliances,0.123
217,electronics,0.33
218,appliances,0.116
219,appliances,0.18
220,fashion,0.382
221,fashion,0.319
222,fashion,0.354
223,furniture,0.374
224,electronics,0.3
225,furniture,0.458
226,fashion,0.374
227,fashion,0.743
228,electronics,0.299
229,appliances,0.221
230,fashion,0.398
231,grocery,0.095
232,furniture,0.238
233,grocery,0.219
234,furniture,0.23
235,fashion,0.736
236,appliances,0.156
237,furniture,0.187
238,appliances,0.287
239,fashion,0.156
240,furniture,0.054
241,electronics,0.341
242,electronics,0.196
243,appliances,0.144
244,grocery,0.159
245,grocery,0.161
246,fashion,0.599
247,grocery,0.313
248,appliances,0.176
249,furniture,0.25
250,electronics,0.462
251,fashion,0.436
252,electronics,0.312
253,fashion,0.063
254,grocery,0.27
255,appliances,0.48
256,fashion,0.145
257,furniture,0.407
258,fashion,0.236
259,furniture,0.263
260,electronics,0.352
261,fashion,0.219
262,furniture,0.122
263,electronics,0.416
264,furniture,0.098
265,electronics,0.225
266,grocery,0.176
267,electronics,0.358
268,fashion,0.088
269,electronics,0.549
270,fashion,0.176
271,grocery,0.545
272,fashion,0.226
273,furniture,0.148
274,electronics,0.093
275,grocery,0.64
276,fashion,0.295
277,electronics,0.033
278,furniture,0.71
279,furniture,0.391
280,electronics,0.332
281,appliances,0.332
282,electronics,0.213
283,grocery,0.25
284,grocery,0.109
285,furniture,0.031
286,grocery,0.625
287,electronics,0.171
288,electronics,0.401
289,electronics,0.133
290,electronics,0.294
291,fashion,0.565
292,electronics,0.247
293,furniture,0.121
294,electronics,0.472
295,grocery,0.156
296,appliances,0.157
297,grocery,0.319
298,furniture,0.014
299,furniture,0.442
300,furniture,0.517
301,grocery,0.739
302,furniture,0.132
303,grocery,0.423
304,appliances,0.5
305,grocery,0.044
306,appliances,0.343
307,appliances,0.128
308,electronics,0.3
309,appliances,0.128
310,grocery,0.058
311,furniture,0.114
312,appliances,0.111
313,furniture,0.124
314,furniture,0.302
315,grocery,0.195
316,furniture,0.175
317,furniture,0.292
318,grocery,0.369
319,appliances,0.208
320,furniture,0.196
321,grocery,0.451
322,fashion,0.396
323,appliances,0.384
324,appliances,0.377
325,electronics,0.216
326,appliances,0.341
327,fashion,0.717
328,fashion,0.103
329,appliances,0.159
330,fashion,0.139
331,grocery,0.425
332,electronics,0.165
333,electronics,0.136
334,electronics,0.432
335,grocery,0.118
336,furniture,0.302
337,furniture,0.364
338,fashion,0.291
339,furniture,0.1
340,electronics,0.094
341,appliances,0.146
342,appliances,0.342
343,fashion,0.581
344,grocery,0.171
345,fashion,0.576
346,grocery,0.241
347,appliances,0.399
348,appliances,0.53
349,furniture,0.092
350,fashion,0.277
351,appliances,0.255
352,furniture,0.248
353,fashion,0.085
354,furniture,0.515
355,furniture,0.509
356,furniture,0.088
357,appliances,0.476
358,furniture,0.174
359,furniture,0.201
360,grocery,0.424
361,grocery,0.383
362,fashion,0.322
363,electronics,0.602
364,fashion,0.298
365,fashion,0.072
366,appliances,0.116
367,grocery,0.12
368,appliances,0.32
369,fashion,0.223
370,electronics,0.64
371,fashion,0.337
372,appliances,0.559
373,appliances,0.218
374,appliances,0.456
375,furniture,0.416
376,fashion,0.485
377,grocery,0.226
378,grocery,0.287
379,appliances,0.222
380,fashion,0.055
381,grocery,0.242
382,electronics,0.468
383,furniture,0.374
384,electronics,0.092
385,furniture,0.564
386,fashion,0.108
387,appliances,0.124
388,appliances,0.07
389,grocery,0.387
390,electronics,0.327
391,furniture,0.581
392,electronics,0.254
393,electronics,0.357
394,grocery,0.26
395,fashion,0.188
396,appliances,0.677
397,electronics,0.147
398,furniture,0.591
399,electronics,0.171
400,furniture,0.191
401,fashion,0.305
402,furniture,0.227
403,grocery,0.511
404,appliances,0.107
405,electronics,0.168
406,furniture,0.248
407,furniture,0.23
408,furniture,0.513
409,appliances,0.147
410,electronics,0.52
411,electronics,0.305
412,furniture,0.137
413,grocery,0.402
414,furniture,0.188
415,grocery,0.212
416,furniture,0.321
417,furniture,0.174
418,appliances,0.168
419,grocery,0.27
420,appliances,0.308
421,furniture,0.355
422,fashion,0.371
423,grocery,0.046
424,appliances,0.205
425,furniture,0.172
426,electronics,0.424
427,furniture,0.146
428,fashion,0.238
429,appliances,0.262
430,fashion,0.157
431,fashion,0.178
432,grocery,0.46
433,grocery,0.405
434,grocery,0.134
435,furniture,0.351
436,grocery,0.228
437,furniture,0.278
438,grocery,0.213
439,electronics,0.138
440,electronics,0.174
441,appliances,0.306
442,appliances,0.149
443,appliances,0.295
444,fashion,0.11
445,appliances,0.551
446,fashion,0.097
447,furniture,0.446
448,fashion,0.54
449,electronics,0.246
450,appliances,0.116
451,appliances,0.528
452,fashion,0.284
453,grocery,0.604
454,fashion,0.294
455,appliances,0.093
456,grocery,0.088
457,furniture,0.126
458,fashion,0.12
459,grocery,0.284
460,fashion,0.314
461,electronics,0.458
462,appliances,0.419
463,grocery,0.213
464,electronics,0.264
465,appliances,0.105
466,grocery,0.427
467,electronics,0.156
468,furniture,0.195
469,furniture,0.116
470,furniture,0.284
471,grocery,0.099
472,grocery,0.371
473,electronics,0.161
474,furniture,0.186
475,grocery,0.194
476,electronics,0.361
477,electronics,0.132
478,electronics,0.299
479,electronics,0.176
480,grocery,0.617
481,fashion,0.112
482,grocery,0.438
483,fashion,0.226
484,furniture,0.292
485,furniture,0.508
486,grocery,0.169
487,grocery,0.342
488,appliances,0.028
489,grocery,0.111
490,appliances,0.357
491,furniture,0.394
492,fashion,0.234
493,grocery,0.332
494,grocery,0.226
495,fashion,0.423
496,fashion,0.166
497,grocery,0.17
498,fashion,0.12
499,fashion,0.403
500,furniture,0.266
501,electronics,0.394
502,furniture,0.08
503,fashion,0.135
504,fashion,0.459
505,fashion,0.235
506,furniture,0.12
507,fashion,0.307
508,electronics,0.068
509,appliances,0.642
510,electronics,0.584
511,furniture,0.437
512,grocery,0.053
513,furniture,0.156
514,fashion,0.16
515,appliances,0.409
516,fashion,0.443
517,grocery,0.534
518,electronics,0.426
519,fashion,0.487
520,grocery,0.5
521,furniture,0.273
522,furniture,0.036
523,grocery,0.295
524,fashion,0.452
525,appliances,0.169
526,furniture,0.293
527,fashion,0.137
528,electronics,0.604
529,appliances,0.291
530,electronics,0.724
531,fashion,0.262
532,furniture,0.696
533,furniture,0.236
534,grocery,0.243
535,fashion,0.444
536,grocery,0.445
537,grocery,0.106
538,electronics,0.205
539,grocery,0.344
540,furniture,0.37
541,furniture,0.229
542,fashion,0.46
543,appliances,0.377
544,appliances,0.257
545,furniture,0.162
546,electronics,0.327
547,grocery,0.067
548,electronics,0.343
549,fashion,0.484
550,appliances,0.252
551,furniture,0.613
552,fashion,0.365
553,grocery,0.637
554,fashion,0.195
555,appliances,0.414
556,furniture,0.277
557,appliances,0.318
558,electronics,0.236
559,furniture,0.212
560,appliances,0.479
561,fashion,0.035
562,electronics,0.135
563,appliances,0.156
564,fashion,0.207
565,grocery,0.434
566,fashion,0.329
567,grocery,0.577
568,furniture,0.518
569,fashion,0.138
570,grocery,0.394
571,grocery,0.249
572,fashion,0.084
573,electronics,0.043
574,appliances,0.257
575,grocery,0.239
576,appliances,0.263
577,electronics,0.441
578,electronics,0.368
579,appliances,0.76
580,furniture,0.479
581,fashion,0.293
582,appliances,0.419
583,appliances,0.376
584,fashion,0.513
585,fashion,0.275
586,appliances,0.696
587,fashion,0.437
588,fashion,0.375
589,appliances,0.299
590,fashion,0.039
591,furniture,0.108
592,electronics,0.288
593,electronics,0.329
594,electronics,0.158
595,fashion,0.334
596,appliances,0.279
597,fashion,0.194
598,grocery,0.245
599,appliances,0.478
600,grocery,0.15
601,appliances,0.397
602,furniture,0.215
603,furniture,0.207
604,electronics,0.121
605,grocery,0.527
606,furniture,0.362
607,grocery,0.296
608,fashion,0.313
609,fashion,0.354
610,appliances,0.36
611,grocery,0.087
612,grocery,0.252
613,grocery,0.053
614,electronics,0.394
615,fashion,0.241
616,appliances,0.14
617,appliances,0.072
618,electronics,0.129
619,fashion,0.533
620,furniture,0.235
621,grocery,0.142
622,electronics,0.449
623,furniture,0.112
624,electronics,0.379
625,furniture,0.345
626,grocery,0.274
627,furniture,0.405
628,appliances,0.095
629,grocery,0.09
630,appliances,0.224
631,fashion,0.361
632,fashion,0.422
633,grocery,0.312
634,fashion,0.243
635,grocery,0.407
636,grocery,0.135
637,appliances,0.117
638,furniture,0.608
639,appliances,0.35
640,furniture,0.327
641,grocery,0.317
642,grocery,0.47
643,grocery,0.155
644,fashion,0.152
645,furniture,0.101
646,electronics,0.386
647,electronics,0.218
648,grocery,0.322
649,electronics,0.345
650,fashion,0.081
651,appliances,0.33
652,fashion,0.261
653,grocery,0.413
654,electronics,0.408
655,fashion,0.15
656,fashion,0.184
657,furniture,0.338
658,electronics,0.261
659,electronics,0.155
660,grocery,0.26
661,furniture,0.343
662,grocery,0.414
663,electronics,0.045
664,fashion,0.489
665,electronics,0.169
666,furniture,0.443
667,grocery,0.251
668,fashion,0.634
669,grocery,0.042
670,furniture,0.037
671,furniture,0.317
672,fashion,0.361
673,fashion,0.186
674,grocery,0.041
675,electronics,0.189
676,fashion,0.53
677,fashion,0.154
678,appliances,0.142
679,appliances,0.5
680,electronics,0.233
681,grocery,0.082
682,grocery,0.255
683,appliances,0.387
684,appliances,0.31
685,furniture,0.268
686,grocery,0.171
687,electronics,0.353
688,fashion,0.419
689,furniture,0.218
690,furniture,0.2
691,furniture,0.235
692,grocery,0.178
693,appliances,0.417
694,electronics,0.104
695,fashion,0.309
696,grocery,0.357
697,appliances,0.275
698,grocery,0.031
699,grocery,0.411
700,electronics,0.287
701,furniture,0.462
702,furniture,0.549
703,fashion,0.084
704,fashion,0.361
705,appliances,0.204
706,appliances,0.188
707,electronics,0.261
708,fashion,0.415
709,appliances,0.129
710,grocery,0.156
711,appliances,0.447
712,grocery,0.344
713,appliances,0.468
714,appliances,0.113
715,grocery,0.347
716,fashion,0.191
717,appliances,0.216
718,electronics,0.21
719,electronics,0.589
720,furniture,0.314
721,appliances,0.284
722,fashion,0.482
723,furniture,0.268
724,appliances,0.696
725,grocery,0.27
726,appliances,0.146
727,furniture,0.03
728,appliances,0.295
729,appliances,0.098
730,electronics,0.532
731,electronics,0.154
732,fashion,0.635
733,grocery,0.201
734,grocery,0.247
735,fashion,0.61
736,electronics,0.103
737,fashion,0.435
738,appliances,0.285
739,appliances,0.272
740,fashion,0.169
741,appliances,0.185
742,electronics,0.42
743,fashion,0.048
744,appliances,0.471
745,fashion,0.303
746,grocery,0.134
747,grocery,0.163
748,grocery,0.562
749,fashion,0.26
750,appliances,0.182
751,appliances,0.308
752,electronics,0.148
753,fashion,0.345
754,electronics,0.279
755,grocery,0.514
756,fashion,0.125
757,grocery,0.354
758,electronics,0.224
759,furniture,0.122
760,appliances,0.257
761,appliances,0.223
762,electronics,0.293
763,furniture,0.132
764,electronics,0.214
765,furniture,0.176
766,appliances,0.209
767,furniture,0.367
768,fashion,0.244
769,appliances,0.443
770,furniture,0.075
771,fashion,0.11
772,appliances,0.163
773,appliances,0.186
774,furniture,0.755
775,furniture,0.403
776,furniture,0.241
777,grocery,0.581
778,fashion,0.126
779,furniture,0.522
780,furniture,0.119
781,electronics,0.436
782,fashion,0.513
783,electronics,0.323
784,appliances,0.508
785,appliances,0.357
786,appliances,0.14
787,appliances,0.166
788,fashion,0.291
789,electronics,0.515
790,electronics,0.042
791,appliances,0.327
792,electronics,0.349
793,appliances,0.529
794,electronics,0.4
795,fashion,0.065
796,fashion,0.418
797,furniture,0.429
798,fashion,0.462
799,fashion,0.389
800,appliances,0.178
801,electronics,0.077
802,grocery,0.054
803,appliances,0.149
804,appliances,0.107
805,fashion,0.196
806,electronics,0.413
807,furniture,0.098
808,fashion,0.096
809,fashion,0.268
810,furniture,0.14
811,fashion,0.586
812,electronics,0.355
813,grocery,0.54
814,grocery,0.385
815,electronics,0.334
816,electronics,0.448
817,grocery,0.429
818,fashion,0.271
819,furniture,0.183
820,fashion,0.308
821,furniture,0.348
822,grocery,0.179
823,furniture,0.357
824,fashion,0.218
825,fashion,0.151
826,grocery,0.079
827,grocery,0.219
828,appliances,0.631
829,furniture,0.525
830,furniture,0.175
831,grocery,0.574
832,grocery,0.503
833,fashion,0.573
834,electronics,0.064
835,appliances,0.49
836,grocery,0.345
837,fashion,0.595
838,fashion,0.022
839,appliances,0.265
840,appliances,0.384
841,furniture,0.192
842,appliances,0.187
843,fashion,0.108
844,electronics,0.259
845,furniture,0.35
846,fashion,0.297
847,appliances,0.172
848,electronics,0.424
849,electronics,0.537
850,fashion,0.302
851,electronics,0.536
852,electronics,0.413
853,appliances,0.228
854,grocery,0.631
855,grocery,0.1
856,appliances,0.278
857,grocery,0.015
858,fashion,0.182
859,electronics,0.286
860,grocery,0.3
861,appliances,0.318
862,grocery,0.447
863,grocery,0.198
864,furniture,0.296
865,appliances,0.243
866,furniture,0.242
867,fashion,0.257
868,grocery,0.042
869,grocery,0.404
870,furniture,0.084
871,electronics,0.103
872,furniture,0.217
873,electronics,0.277
874,fashion,0.67
875,fashion,0.244
876,grocery,0.027
877,grocery,0.29
878,electronics,0.185
879,appliances,0.24
880,fashion,0.146
881,electronics,0.065
882,grocery,0.123
883,appliances,0.146
884,fashion,0.292
885,electronics,0.499
886,electronics,0.341
887,appliances,0.123
888,electronics,0.178
889,fashion,0.034
890,appliances,0.014
891,grocery,0.485
892,grocery,0.117
893,furniture,0.146
894,furniture,0.263
895,appliances,0.667
896,furniture,0.2
897,grocery,0.253
898,fashion,0.417
899,grocery,0.138
900,electronics,0.292
901,appliances,0.058
902,appliances,0.211
903,fashion,0.113
904,furniture,0.265
905,furniture,0.483
906,furniture,0.079
907,electronics,0.272
908,appliances,0.35
909,furniture,0.288
910,appliances,0.118
911,grocery,0.299
912,appliances,0.101
913,appliances,0.17
914,furniture,0.412
915,fashion,0.197
916,grocery,0.183
917,appliances,0.479
918,furniture,0.337
919,fashion,0.663
920,electronics,0.087
921,appliances,0.085
922,electronics,0.337
923,fashion,0.181
924,electronics,0.251
925,electronics,0.487
926,electronics,0.311
927,furniture,0.346
928,appliances,0.738
929,electronics,0.268
930,appliances,0.485
931,furniture,0.134
932,grocery,0.085
933,fashion,0.135
934,furniture,0.307
935,grocery,0.23
936,appliances,0.131
937,fashion,0.111
938,appliances,0.122
939,grocery,0.243
940,appliances,0.673
941,grocery,0.446
942,fashion,0.215
943,electronics,0.133
944,fashion,0.053
945,furniture,0.424
946,grocery,0.116
947,fashion,0.172
948,electronics,0.073
949,electronics,0.097
950,fashion,0.19
951,appliances,0.282
952,furniture,0.076
953,furniture,0.412
954,fashion,0.271
955,appliances,0.457
956,grocery,0.592
957,fashion,0.17
958,grocery,0.069
959,appliances,0.439
960,furniture,0.284
961,fashion,0.207
962,grocery,0.194
963,grocery,0.32
964,grocery,0.091
965,fashion,0.095
966,fashion,0.242
967,furniture,0.458
968,grocery,0.25
969,electronics,0.202
970,electronics,0.191
971,fashion,0.416
972,appliances,0.201
973,grocery,0.231
974,electronics,0.321
975,electronics,0.208
976,appliances,0.693
977,fashion,0.029
978,furniture,0.645
979,electronics,0.2
980,fashion,0.525
981,electronics,0.243
982,electronics,0.506
983,grocery,0.106
984,grocery,0.685
985,fashion,0.46
986,fashion,0.246
987,grocery,0.564
988,furniture,0.14
989,appliances,0.275
990,fashion,0.463
991,appliances,0.065
992,grocery,0.173
993,fashion,0.234
994,fashion,0.246
995,appliances,0.487
996,furniture,0.215
997,appliances,0.245
998,furniture,0.287
999,fashion,0.096
1000,electronics,0.149
1001,grocery,0.396
1002,furniture,0.285
1003,electronics,0.127
1004,electronics,0.218
1005,grocery,0.23
1006,grocery,0.228
1007,furniture,0.144
1008,grocery,0.026
1009,grocery,0.166
1010,grocery,0.179
1011,fashion,0.339
1012,appliances,0.538
1013,grocery,0.122
1014,electronics,0.839
1015,grocery,0.464
1016,fashion,0.264
1017,fashion,0.601
1018,appliances,0.274
1019,electronics,0.249
1020,grocery,0.177
1021,appliances,0.197
1022,fashion,0.365
1023,furniture,0.44
1024,fashion,0.247
1025,electronics,0.095
1026,grocery,0.49
1027,fashion,0.159
1028,grocery,0.217
1029,furniture,0.445
1030,electronics,0.413
1031,fashion,0.516
1032,appliances,0.134
1033,fashion,0.348
1034,furniture,0.481
1035,electronics,0.228
1036,appliances,0.102
1037,grocery,0.24
1038,furniture,0.103
1039,grocery,0.159
1040,appliances,0.078
1041,fashion,0.634
1042,fashion,0.241
1043,electronics,0.33
1044,appliances,0.4
1045,furniture,0.349
1046,appliances,0.28
1047,appliances,0.074
1048,furniture,0.32
1049,furniture,0.206
1050,furniture,0.214
1051,grocery,0.459
1052,appliances,0.539
1053,appliances,0.217
1054,furniture,0.063
1055,electronics,0.143
1056,electronics,0.413
1057,electronics,0.304
1058,furniture,0.555
1059,furniture,0.044
1060,electronics,0.422
1061,appliances,0.374
1062,fashion,0.214
1063,appliances,0.201
1064,appliances,0.011
1065,electronics,0.465
1066,appliances,0.301
1067,appliances,0.587
1068,fashion,0.096
1069,grocery,0.113
1070,furniture,0.421
1071,furniture,0.187
1072,furniture,0.223
1073,electronics,0.134
1074,grocery,0.468
1075,electronics,0.303
1076,furniture,0.09
1077,fashion,0.05
1078,fashion,0.515
1079,fashion,0.251
1080,fashion,0.275
1081,electronics,0.405
1082,grocery,0.537
1083,grocery,0.246
1084,furniture,0.585
1085,appliances,0.187
1086,electronics,0.379
1087,furniture,0.282
1088,furniture,0.281
1089,grocery,0.465
1090,appliances,0.115
1091,appliances,0.129
1092,furniture,0.091
1093,furniture,0.129
1094,electronics,0.094
1095,appliances,0.501
1096,fashion,0.124
1097,electronics,0.523
1098,grocery,0.296
1099,fashion,0.298
1100,electronics,0.474
1101,appliances,0.2
1102,fashion,0.275
1103,appliances,0.098
1104,electronics,0.599
1105,grocery,0.254
1106,electronics,0.242
1107,fashion,0.367
1108,appliances,0.425
1109,fashion,0.2
1110,furniture,0.08
1111,appliances,0.136
1112,furniture,0.664
1113,electronics,0.524
1114,fashion,0.176
1115,grocery,0.302
1116,grocery,0.106
1117,grocery,0.435
1118,fashion,0.303
1119,fashion,0.376
1120,electronics,0.29
1121,appliances,0.345
1122,furniture,0.33
1123,electronics,0.119
1124,fashion,0.106
1125,grocery,0.083
1126,furniture,0.431
1127,electronics,0.395
1128,appliances,0.27
1129,furniture,0.259
1130,furniture,0.065
1131,electronics,0.536
1132,appliances,0.669
1133,furniture,0.017
1134,grocery,0.226
1135,fashion,0.182
1136,fashion,0.21
1137,fashion,0.079
1138,grocery,0.261
1139,electronics,0.397
1140,fashion,0.203
1141,appliances,0.366
1142,grocery,0.428
1143,grocery,0.311
1144,fashion,0.142
1145,fashion,0.068
1146,furniture,0.275
1147,furniture,0.232
1148,grocery,0.24
1149,appliances,0.412
1150,furniture,0.368
1151,grocery,0.286
1152,grocery,0.141
1153,furniture,0.428
1154,furniture,0.287
1155,electronics,0.286
1156,electronics,0.378
1157,electronics,0.146
1158,grocery,0.043
1159,appliances,0.412
1160,furniture,0.397
1161,electronics,0.128
1162,appliances,0.093
1163,furniture,0.26
1164,electronics,0.388
1165,fashion,0.105
1166,fashion,0.037
1167,furniture,0.472
1168,fashion,0.291
1169,grocery,0.478
1170,appliances,0.082
1171,appliances,0.245
1172,grocery,0.085
1173,appliances,0.4
1174,grocery,0.244
1175,furniture,0.061
1176,furniture,0.221
1177,appliances,0.185
1178,grocery,0.395
1179,furniture,0.49
1180,appliances,0.26
1181,electronics,0.478
1182,grocery,0.088
1183,electronics,0.393
1184,furniture,0.601
1185,fashion,0.197
1186,furniture,0.632
1187,fashion,0.468
1188,fashion,0.169
1189,fashion,0.231
1190,grocery,0.048
1191,furniture,0.389
1192,furniture,0.301
1193,grocery,0.277
1194,electronics,0.224
1195,electronics,0.176
1196,fashion,0.033
1197,electronics,0.203
1198,fashion,0.466
1199,fashion,0.208
1200,grocery,0.336
1201,appliances,0.535
1202,appliances,0.267
1203,appliances,0.137
1204,fashion,0.569
1205,grocery,0.021
1206,furniture,0.212
1207,grocery,0.403
1208,furniture,0.199
1209,appliances,0.276
1210,fashion,0.551
1211,electronics,0.22
1212,appliances,0.213
1213,appliances,0.352
1214,appliances,0.375
1215,grocery,0.391
1216,electronics,0.202
1217,grocery,0.047
1218,appliances,0.08
1219,fashion,0.2
1220,fashion,0.265
1221,grocery,0.573
1222,furniture,0.603
1223,fashion,0.452
1224,electronics,0.405
1225,fashion,0.458
1226,furniture,0.525
1227,furniture,0.169
1228,grocery,0.39
1229,fashion,0.506
1230,fashion,0.141
1231,furniture,0.252
1232,electronics,0.153
1233,grocery,0.833
1234,electronics,0.62
1235,appliances,0.163
1236,grocery,0.48
1237,fashion,0.31
1238,grocery,0.136
1239,electronics,0.585
1240,fashion,0.174
1241,fashion,0.262
1242,appliances,0.33
1243,grocery,0.217
1244,furniture,0.444
1245,fashion,0.538
1246,appliances,0.389
1247,grocery,0.206
1248,grocery,0.337
1249,furniture,0.32
1250,appliances,0.244
1251,grocery,0.329
1252,grocery,0.139
1253,grocery,0.298
1254,appliances,0.19
1255,fashion,0.481
1256,electronics,0.538
1257,electronics,0.112
1258,fashion,0.434
1259,electronics,0.581
1260,furniture,0.243
1261,grocery,0.15
1262,appliances,0.296
1263,grocery,0.241
1264,fashion,0.358
1265,electronics,0.427
1266,fashion,0.493
1267,fashion,0.331
1268,furniture,0.34
1269,furniture,0.355
1270,electronics,0.618
1271,appliances,0.424
1272,fashion,0.422
1273,grocery,0.505
1274,electronics,0.112
1275,fashion,0.369
1276,furniture,0.251
1277,furniture,0.181
1278,electronics,0.534
1279,appliances,0.09
1280,grocery,0.247
1281,electronics,0.261
1282,appliances,0.154
1283,grocery,0.077
1284,grocery,0.159
1285,electronics,0.375
1286,fashion,0.267
1287,furniture,0.266
1288,grocery,0.328
1289,electronics,0.446
1290,furniture,0.044
1291,grocery,0.316
1292,grocery,0.317
1293,fashion,0.319
1294,appliances,0.024
1295,appliances,0.069
1296,appliances,0.384
1297,electronics,0.068
1298,fashion,0.265
1299,grocery,0.177
1300,fashion,0.319
1301,electronics,0.398
1302,furniture,0.037
1303,fashion,0.234
1304,fashion,0.425
1305,electronics,0.229
1306,fashion,0.344
1307,fashion,0.231
1308,electronics,0.34
1309,grocery,0.419
1310,furniture,0.199
1311,fashion,0.298
1312,furniture,0.258
1313,grocery,0.511
1314,electronics,0.26
1315,grocery,0.471
1316,appliances,0.336
1317,appliances,0.261
1318,grocery,0.598
1319,furniture,0.125
1320,furniture,0.643
1321,grocery,0.277
1322,electronics,0.533
1323,furniture,0.111
1324,furniture,0.454
1325,electronics,0.15
1326,electronics,0.068
1327,electronics,0.416
1328,furniture,0.265
1329,electronics,0.265
1330,appliances,0.225
1331,furniture,0.231
1332,fashion,0.173
1333,appliances,0.392
1334,fashion,0.444
1335,fashion,0.401
1336,furniture,0.374
1337,furniture,0.124
1338,electronics,0.296
1339,grocery,0.561
1340,grocery,0.114
1341,grocery,0.158
1342,grocery,0.31
1343,fashion,0.165
1344,grocery,0.251
1345,grocery,0.551
1346,grocery,0.156
1347,furniture,0.165
1348,furniture,0.021
1349,grocery,0.164
1350,electronics,0.421
1351,fashion,0.419
1352,fashion,0.072
1353,grocery,0.272
1354,grocery,0.596
1355,fashion,0.243
1356,appliances,0.216
1357,fashion,0.344
1358,furniture,0.258
1359,electronics,0.63
